epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,501.917,1.0131,8.6393,0.57543,0.78373,1.34706,0.90402,0.89505,0.95247,0.72712,0.75019,0.44621,0.41375,0.14364,0.98752,5.86337,0.21601,0.65304,1.36551,0.000666083,0.000666083,0.000666083
2,894.894,0.9588,6.75799,0.42088,0.67504,1.29002,0.91606,0.92111,0.96765,0.76662,0.75936,0.49898,0.46451,0.20158,0.87497,4.88446,0.15939,0.57609,1.24245,0.00106887,0.00106887,0.00106887
3,1297.37,0.89142,5.98299,0.37349,0.60928,1.24261,0.94891,0.94749,0.98018,0.78915,0.79886,0.56814,0.57814,0.32514,0.83836,4.06113,0.136,0.46496,1.20252,0.00120765,0.00120765,0.00120765
4,1680.58,0.81615,5.27335,0.34294,0.54775,1.19561,0.94955,0.96171,0.98514,0.83172,0.77554,0.6204,0.62173,0.37149,0.73527,3.66952,0.11947,0.40549,1.11572,0.000812,0.000812,0.000812
5,2069.17,0.75435,4.70585,0.32186,0.49269,1.15975,0.96258,0.9621,0.98767,0.85302,0.79669,0.66397,0.66791,0.43632,0.6739,3.32636,0.10673,0.37193,1.06714,0.000416,0.000416,0.000416
