epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1213.13,1.57906,8.3829,0.53271,1.40034,1.94028,0.83338,0.76743,0.86583,0.4194,0.00015,0.00013,0,0,1.91178,9.6072,0.27834,1.08621,2.34558,0.000666083,0.000666083,0.000666083
2,2371.1,1.43692,7.51119,0.40387,1.2371,1.80262,0.89265,0.82425,0.91541,0.58553,0,0,0,0,1.39364,8.8621,0.1646,0.90604,1.70625,0.00127997,0.00127997,0.00127997
3,3511.82,1.36721,6.99476,0.37117,1.1661,1.73468,0.89223,0.8686,0.93001,0.61831,0.00088,0.00077,2e-05,0,1.25663,8.23005,0.14511,0.79156,1.63987,0.00184106,0.00184106,0.00184106
4,4662.06,1.2983,6.63046,0.35328,1.07948,1.67467,0.9129,0.89075,0.94533,0.63971,0.02841,0.01473,0.00115,0.00012,1.30533,7.84423,0.11662,0.7162,1.62426,0.0017624,0.0017624,0.0017624
5,5836.96,1.23874,6.33315,0.33996,0.99757,1.62082,0.89316,0.84477,0.91892,0.58531,0.14422,0.07812,0.02905,0.00383,1.33289,7.70366,0.14508,0.83334,1.67642,0.0016832,0.0016832,0.0016832
6,7007.86,1.20129,6.11718,0.33086,0.95955,1.59471,0.91914,0.89191,0.95947,0.70744,0.33732,0.21555,0.09158,0.01327,1.04208,7.19377,0.09552,0.64145,1.39674,0.001604,0.001604,0.001604
7,8151.09,1.16358,5.92724,0.31853,0.91416,1.56002,0.94019,0.91805,0.97026,0.68984,0.36373,0.224,0.09507,0.01277,1.14478,7.12011,0.07461,0.60941,1.48077,0.0015248,0.0015248,0.0015248
8,9301.49,1.13716,5.73839,0.31207,0.88101,1.5411,0.94256,0.92682,0.97423,0.73941,0.41006,0.24846,0.13286,0.02032,0.98663,6.73806,0.07821,0.55396,1.34627,0.0014456,0.0014456,0.0014456
9,10463.3,1.11223,5.54298,0.30886,0.84864,1.51493,0.95284,0.95082,0.98048,0.76441,0.48534,0.29969,0.18419,0.03448,0.94014,6.2507,0.10072,0.50398,1.29523,0.0013664,0.0013664,0.0013664
10,11599.1,1.08948,5.31104,0.30399,0.82851,1.50072,0.95137,0.94378,0.98205,0.76373,0.56902,0.35003,0.2483,0.05306,0.94555,5.88667,0.11005,0.50514,1.29791,0.0012872,0.0012872,0.0012872
11,12756.6,1.06977,5.15238,0.29659,0.81049,1.48433,0.95715,0.94685,0.98344,0.75127,0.51944,0.34318,0.23462,0.08251,0.95579,5.67241,0.09582,0.50257,1.28632,0.001208,0.001208,0.001208
12,13912.5,1.05391,5.01095,0.29167,0.79025,1.47059,0.95205,0.94672,0.98104,0.77034,0.53704,0.36142,0.24413,0.07598,0.90285,5.55027,0.09478,0.47277,1.26701,0.0011288,0.0011288,0.0011288
13,15077.5,1.03441,4.91668,0.2862,0.77514,1.45549,0.95025,0.95403,0.98401,0.75094,0.52263,0.36191,0.26026,0.08914,0.97904,5.56217,0.10792,0.50968,1.32352,0.0010496,0.0010496,0.0010496
14,16227,1.02193,4.80654,0.28067,0.75704,1.44536,0.9613,0.94378,0.98413,0.76904,0.56841,0.34759,0.2362,0.0865,0.9021,5.32212,0.08616,0.49065,1.26615,0.0009704,0.0009704,0.0009704
15,17378.5,1.01197,4.67262,0.27739,0.74537,1.4377,0.95691,0.95288,0.98586,0.78753,0.52677,0.35605,0.23528,0.09867,0.87813,5.13202,0.08877,0.45373,1.23475,0.0008912,0.0008912,0.0008912
